"tool_name","category","description","keywords","icon_url","website_link"
"Snyk","Coding","AI-powered developer security platform finding and fixing vulnerabilities in code, dependencies, and containers.","snyk security ai vulnerability find fix code dependency container developer devsecops","https://snyk.io/favicon.ico","https://snyk.io"
"Mutable AI","Coding","AI software development platform with autocomplete, refactoring, and automated code documentation features.","mutable ai code development autocomplete refactor document software engineer assistant","https://mutable.ai/favicon.ico","https://mutable.ai"
"AskCodi","Coding","AI coding assistant for generating code, tests, and documentation across multiple programming languages.","askcodi ai coding assistant generate test documentation language program help","https://www.askcodi.com/favicon.ico","https://www.askcodi.com"
"Duet AI","Coding","Google Cloud's AI pair programmer integrated into Google Workspace and Cloud IDE for developer productivity.","duet ai google cloud pair programming workspace ide developer productivity suggest","https://cloud.google.com/favicon.ico","https://cloud.google.com/duet-ai"
"Warp","Coding","AI-powered terminal for developers with natural language command search, AI debugging, and team sharing.","warp terminal ai developer natural language command debug team share modern","https://www.warp.dev/favicon.ico","https://www.warp.dev"
"Grammarly","Writing","AI writing assistant for grammar correction, style improvements, tone suggestions, and clear communication.","grammarly writing grammar spell check edit proofread clarity text tone suggestion","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Grammarly_logo.svg/64px-Grammarly_logo.svg.png","https://www.grammarly.com"
"Jasper AI","Writing","Enterprise AI content platform for generating SEO blogs, marketing copy, emails, and social media content.","jasper ai writing content marketing copy blog social media email seo enterprise generate","https://www.jasper.ai/favicon.ico","https://www.jasper.ai"
"Copy.ai","Writing","AI copywriting tool for generating marketing copy, product descriptions, ads, and creative content fast.","copyai writing copy content marketing product description social media ad create fast","https://www.copy.ai/favicon.ico","https://www.copy.ai"
"Writesonic","Writing","AI writing platform for generating SEO-optimized blogs, ads, landing pages, and social media posts.","writesonic ai writing seo blog ad landing page social media content generate optimize","https://writesonic.com/favicon.ico","https://writesonic.com"
"Rytr","Writing","Affordable AI writing assistant generating high-quality content in 30+ languages for any use case quickly.","rytr ai writing assistant generate content language affordable fast blog email ad","https://rytr.me/favicon.ico","https://rytr.me"
"Wordtune","Writing","AI writing companion that rephrases, rewrites, and summarizes sentences to improve clarity and impact.","wordtune writing rephrase rewrite summarize sentence clarity style improve ai text","https://www.wordtune.com/favicon.ico","https://www.wordtune.com"
"QuillBot","Writing","AI paraphrasing and summarization tool that rephrases text while preserving original meaning and style.","quillbot paraphrase summarize rewrite ai text rephrase meaning style improve writing","https://quillbot.com/favicon.ico","https://quillbot.com"
"Hemingway Editor","Writing","AI-powered writing app that highlights complex sentences, passive voice, and readability issues for cleaner prose.","hemingway editor writing readability complex sentence passive voice highlight improve prose","https://hemingwayapp.com/favicon.ico","https://hemingwayapp.com"
"ProWritingAid","Writing","Comprehensive AI writing editor checking grammar, style, readability, and overused words for authors.","prowritingaid writing editor grammar style readability author manuscript check improve","https://prowritingaid.com/favicon.ico","https://prowritingaid.com"
"Sudowrite","Writing","AI creative writing partner for fiction authors to brainstorm, expand scenes, and overcome writer's block.","sudowrite creative writing fiction ai author brainstorm scene expand block story","https://www.sudowrite.com/favicon.ico","https://www.sudowrite.com"
"NovelAI","Writing","AI storytelling subscription service for generating novels, stories, and interactive fiction with custom characters.","novelai storytelling novel story fiction interactive ai generate character creative write","https://novelai.net/favicon.ico","https://novelai.net"
"Ink for All","Writing","AI writing and SEO tool optimizing content for search engines while maintaining natural, engaging writing.","ink for all writing seo optimize content search engine natural engage score","https://inkforall.com/favicon.ico","https://inkforall.com"
"Anyword","Writing","AI copywriting platform predicting content performance scores before publishing for better marketing ROI.","anyword ai copy predict performance score marketing content seo ad blog roi","https://anyword.com/favicon.ico","https://anyword.com"
"Longshot AI","Writing","AI writing assistant creating factual, SEO-optimized long-form blog posts with verified, cited information.","longshot ai writing long form blog seo fact check cite verify content create","https://www.longshot.ai/favicon.ico","https://www.longshot.ai"
"Scalenut","Writing","AI-powered content intelligence platform for SEO research, content planning, and writing optimization.","scalenut ai content seo research plan write optimize intelligence marketing blog","https://www.scalenut.com/favicon.ico","https://www.scalenut.com"
"Frase","Writing","AI content tool for researching competitors, generating SEO briefs, and writing optimized articles efficiently.","frase ai content seo research competitor brief write article optimize efficiently","https://www.frase.io/favicon.ico","https://www.frase.io"
"Surfer SEO","Writing","AI content optimization platform analyzing top pages to guide writers in creating SEO-winning articles.","surfer seo ai content optimize analyze top page guide write article rank search","https://surferseo.com/favicon.ico","https://surferseo.com"
"Originality.ai","Writing","AI content detector and plagiarism checker identifying AI-generated text for publishers and educators.","originality ai detect content plagiarism check generated text publisher educator","https://originality.ai/favicon.ico","https://originality.ai"
"Winston AI","Writing","AI detection tool identifying ChatGPT and other AI-generated content with high accuracy for educators.","winston ai detect chatgpt generated content accuracy educator student academic check","https://gowinston.ai/favicon.ico","https://gowinston.ai"
"DeepL","Translation","Neural machine translation service providing industry-leading accuracy between 30+ languages instantly.","deepl translate language text document accuracy multilingual global neural instant","https://www.deepl.com/favicon.ico","https://www.deepl.com"
"Wordvice","Writing","AI proofreading tool offering grammar, syntax, and style corrections for academic and professional documents.","wordvice proofread ai grammar syntax style academic professional document correct","https://wordvice.ai/favicon.ico","https://wordvice.ai"
"Hyperwrite","Writing","Personal AI writing assistant learning your style to draft emails, essays, and content that sounds like you.","hyperwrite personal ai writing assistant style email essay content draft learn you","https://www.hyperwriteai.com/favicon.ico","https://www.hyperwriteai.com"
"Describely","Writing","AI product description generator for ecommerce stores, optimizing bulk product content for SEO.","describely ai product description ecommerce store seo optimize bulk generate content","https://describely.ai/favicon.ico","https://describely.ai"
"Shortly AI","Writing","Minimalist AI writing tool for long-form content creation with powerful commands to expand and rewrite text.","shortly ai writing long form create expand rewrite command minimalist focus blog","https://shortlyai.com/favicon.ico","https://shortlyai.com"
"Spinbot","Writing","Free AI text spinner and paraphrasing tool rewriting articles to create unique content quickly.","spinbot ai paraphrase spin text rewrite article unique content free fast simple","https://spinbot.com/favicon.ico","https://spinbot.com"
"LanguageTool","Writing","Open-source AI proofreader for grammar, spelling, punctuation, and style in 30+ languages.","languagetool grammar spell punctuation style proofread open source language multilingual","https://languagetool.org/favicon.ico","https://languagetool.org"
"Lex","Writing","Distraction-free AI writing editor helping writers create faster with suggestions and feedback as you type.","lex writing editor ai distraction free suggestion feedback create fast draft blog","https://lex.page/favicon.ico","https://lex.page"
"Notion AI","Productivity","AI writing and analysis assistant embedded in Notion for summarizing, drafting, and organizing knowledge.","notion ai productivity writing notes documents summarize organize workspace draft analyze","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Notion-logo.svg/64px-Notion-logo.svg.png","https://www.notion.so"
"Otter.ai","Productivity","AI meeting transcription and note-taking tool that records, transcribes, and summarizes conversations automatically.","otter transcribe meeting notes audio speech recording summary productivity auto real-time","https://otter.ai/favicon.ico","https://otter.ai"
"Fathom","Meeting Assistant","AI meeting recorder and summarizer that captures key moments, decisions, and action items from calls.","fathom meeting record summarize notes action items zoom teams call ai free","https://fathom.video/favicon.ico","https://fathom.video"
"Fireflies.ai","Meeting Assistant","AI meeting assistant recording, transcribing, and analyzing calls across Zoom, Teams, Meet, and Webex.","fireflies meeting transcribe record analyze notes crm integration zoom teams meet webex","https://fireflies.ai/favicon.ico","https://fireflies.ai"
"Grain","Meeting Assistant","AI meeting highlight tool that automatically captures key moments and creates shareable video clips from calls.","grain meeting highlight capture key moment share video clip zoom ai record","https://grain.com/favicon.ico","https://grain.com"
"Avoma","Meeting Assistant","AI meeting assistant with conversation intelligence providing full transcripts, summaries, and coaching insights.","avoma meeting assistant transcribe summarize coach insight conversation intelligence sales","https://www.avoma.com/favicon.ico","https://www.avoma.com"
"tl;dv","Meeting Assistant","AI tool recording and summarizing video meetings with timestamps and highlights for easy review.","tldv meeting record summarize video timestamp highlight review zoom gpt","https://tldv.io/favicon.ico","https://tldv.io"
"Reclaim AI","Productivity","AI scheduling assistant automatically finding and protecting time for tasks, habits, and meetings on your calendar.","reclaim ai schedule calendar task habit meeting protect time plan productivity","https://reclaim.ai/favicon.ico","https://reclaim.ai"
"Motion","Productivity","AI project management and scheduling tool that automatically builds your daily schedule and reprioritizes tasks.","motion ai project schedule task plan priority daily automatic calendar productivity","https://www.usemotion.com/favicon.ico","https://www.usemotion.com"
"Clockwise","Productivity","AI calendar assistant optimizing meeting schedules to protect focus time and improve team collaboration.","clockwise ai calendar optimize meeting focus time team collaboration schedule protect","https://www.getclockwise.com/favicon.ico","https://www.getclockwise.com"
"Mem","Productivity","AI note-taking app that automatically connects related ideas, notes, and tasks using knowledge graph technology.","mem notes ai connect idea knowledge graph organize automatic smart memory tag","https://get.mem.ai/favicon.ico","https://get.mem.ai"
"Taskade","Productivity","AI productivity workspace with task management, mind mapping, notes, and team collaboration in one platform.","taskade productivity task manage mind map note team collaborate ai workspace plan","https://www.taskade.com/favicon.ico","https://www.taskade.com"
"Hive","Productivity","AI-powered project management platform with automation, analytics, and integrated AI assistance for teams.","hive ai project management automate analytics team collaborate productivity workflow","https://hive.com/favicon.ico","https://hive.com"
"Beautiful.ai","Presentation","AI presentation maker that automatically designs and formats stunning professional slide decks in minutes.","beautiful ai presentation slides deck design create visual format auto stunning minute","https://www.beautiful.ai/favicon.ico","https://www.beautiful.ai"
"Tome","Presentation","AI narrative presentation tool generating complete, visually appealing decks from simple text prompts.","tome presentation slides create generate design story pitch deck narrative text","https://tome.app/favicon.ico","https://tome.app"
"Gamma","Presentation","AI presentation tool creating beautiful, interactive slides, documents, and web pages from text instantly.","gamma presentation slide document web page create ai beautiful interactive instant text","https://gamma.app/favicon.ico","https://gamma.app"
"SlidesAI","Presentation","AI add-on for Google Slides automatically generating presentation content and layouts from text input.","slidesai google slides presentation ai generate content layout auto add-on text","https://www.slidesai.io/favicon.ico","https://www.slidesai.io"
"MagicSlides","Presentation","AI tool creating professional Google Slides or PowerPoint presentations from any topic in seconds.","magicslides ai google slides powerpoint presentation create topic second fast auto","https://www.magicslides.app/favicon.ico","https://www.magicslides.app"
"Deckrobot","Presentation","AI presentation formatter automatically styling and formatting PowerPoint decks to professional standards.","deckrobot ai presentation powerpoint format style professional auto design brand","https://www.deckrobot.com/favicon.ico","https://www.deckrobot.com"
"Zapier AI","Automation","AI-powered workflow automation connecting 6000+ apps to automate repetitive tasks without writing code.","zapier automate workflow integration app connect trigger action productivity no code ai","https://zapier.com/favicon.ico","https://zapier.com"
"Make","Automation","Visual workflow automation platform with advanced AI capabilities connecting apps and automating complex flows.","make integromat automate workflow visual connect app integration no-code scenario advanced","https://www.make.com/favicon.ico","https://www.make.com"
"n8n","Automation","Open-source workflow automation tool with AI nodes for building complex integrations and AI agent pipelines.","n8n open source workflow automate ai agent node integration self-host pipeline code","https://n8n.io/favicon.ico","https://n8n.io"
"Bardeen","Automation","AI automation tool for scraping data, automating browser tasks, and connecting web apps without coding.","bardeen automation ai browser scrape data app connect no code workflow web task","https://www.bardeen.ai/favicon.ico","https://www.bardeen.ai"
"ActivePieces","Automation","Open-source business automation platform for connecting tools and automating workflows with AI capabilities.","activepieces open source automation business connect tool workflow ai self-host integrate","https://www.activepieces.com/favicon.ico","https://www.activepieces.com"
"Elicit","Research","AI research assistant automating literature review, extracting data from papers, and summarizing findings.","elicit research paper literature review science academic study analysis extract data","https://elicit.com/favicon.ico","https://elicit.com"
"Consensus","Research","AI-powered academic search engine surfacing evidence-based answers from millions of research papers.","consensus research paper academic study evidence science literature search answer","https://consensus.app/favicon.ico","https://consensus.app"
"Semantic Scholar","Research","Free AI-powered academic search engine with paper discovery, citation graphs, and semantic understanding.","semantic scholar academic search paper citation discover ai free science research","https://www.semanticscholar.org/favicon.ico","https://www.semanticscholar.org"
"Iris.ai","Research","AI science assistant helping researchers discover, filter, and synthesize relevant scientific literature.","iris ai science research discover filter synthesize literature academic paper assistant","https://iris.ai/favicon.ico","https://iris.ai"
"Research Rabbit","Research","AI paper discovery tool mapping scientific literature and suggesting related papers through citation networks.","research rabbit paper discover map literature citation network related suggest science","https://www.researchrabbit.ai/favicon.ico","https://www.researchrabbit.ai"
"Scholarcy","Research","AI tool summarizing academic papers into structured flashcards with key claims and reference extraction.","scholarcy summarize academic paper flashcard key claim extract reference ai research","https://www.scholarcy.com/favicon.ico","https://www.scholarcy.com"
"SciSpace","Research","AI research platform for reading, understanding, and exploring scientific papers with AI-powered explanations.","scispace research paper read understand explore explain ai science academic pdf","https://typeset.io/favicon.ico","https://typeset.io"
"ChatPDF","Research","AI tool letting you chat with any PDF document to extract information, summaries, and answers instantly.","chatpdf pdf chat extract summarize answer ai document research read understand","https://www.chatpdf.com/favicon.ico","https://www.chatpdf.com"
"Julius AI","Research","AI data analysis assistant that reads spreadsheets, visualizes data, and answers analytical questions.","julius ai data analysis spreadsheet visualize chart question answer analytics understand","https://julius.ai/favicon.ico","https://julius.ai"
"Akkio","Research","No-code AI analytics platform for business users to predict outcomes, detect anomalies, and analyze data.","akkio no code ai analytics predict outcome anomaly detect data business forecast","https://www.akkio.com/favicon.ico","https://www.akkio.com"
"Tableau AI","Research","AI-powered data visualization and analytics platform for creating interactive dashboards and business insights.","tableau ai data visualization dashboard analytics insight business intelligence chart","https://www.tableau.com/favicon.ico","https://www.tableau.com"
"PowerBI Copilot","Research","Microsoft's AI-powered business intelligence tool with Copilot for natural language data querying and visualization.","powerbi copilot microsoft ai business intelligence data query visualize dashboard natural language","https://powerbi.microsoft.com/favicon.ico","https://powerbi.microsoft.com"
"Obviously AI","Research","No-code AI predictive analytics platform for building and deploying machine learning models without coding.","obviously ai no code predictive analytics ml machine learning model build deploy business","https://www.obviously.ai/favicon.ico","https://www.obviously.ai"
"MonkeyLearn","Research","No-code AI text analysis platform for sentiment analysis, keyword extraction, and topic classification.","monkeylearn text analysis ai sentiment keyword extract topic classify no-code nlp","https://monkeylearn.com/favicon.ico","https://monkeylearn.com"
"Polymer","Research","AI data visualization tool turning spreadsheet data into interactive dashboards and charts without coding.","polymer ai data visualize spreadsheet dashboard chart interactive no-code insight","https://www.polymersearch.com/favicon.ico","https://www.polymersearch.com"
"Intercom Fin","Customer Support","AI customer service agent resolving support tickets, answering FAQs, and routing queries using your content.","intercom fin ai customer support service resolve ticket faq route answer agent chat","https://www.intercom.com/favicon.ico","https://www.intercom.com/fin"
"Drift","Customer Support","AI-powered conversational marketing and sales platform with chatbots for lead qualification and engagement.","drift ai chatbot sales marketing lead qualify engage conversational customer platform","https://www.drift.com/favicon.ico","https://www.drift.com"
"Tidio","Customer Support","AI live chat and chatbot platform for e-commerce combining human agents with Lyro AI for customer support.","tidio ai live chat chatbot ecommerce support lyro customer agent answer shopify","https://www.tidio.com/favicon.ico","https://www.tidio.com"
"Freshdesk Freddy","Customer Support","Freshdesk's AI engine for ticket routing, response suggestions, and customer support automation.","freshdesk freddy ai support ticket route suggest response automate helpdesk customer","https://freshdesk.com/favicon.ico","https://freshdesk.com/ai"
"Zendesk AI","Customer Support","Zendesk's AI tools for intelligent ticket classification, suggested responses, and agent productivity.","zendesk ai support ticket classify suggest response agent productivity helpdesk customer","https://www.zendesk.com/favicon.ico","https://www.zendesk.com/ai"
"Forethought","Customer Support","AI customer support platform predicting, prioritizing, and resolving support tickets with generative AI.","forethought ai support ticket predict prioritize resolve generative customer helpdesk","https://forethought.ai/favicon.ico","https://forethought.ai"
"Gong","Sales","Revenue intelligence platform recording, transcribing, and analyzing sales calls to improve team performance.","gong sales revenue intelligence record transcribe analyze call team performance coach","https://www.gong.io/favicon.ico","https://www.gong.io"
"Chorus.ai","Sales","AI conversation intelligence platform for sales teams analyzing calls, meetings, and customer interactions.","chorus ai sales conversation intelligence analyze call meeting customer coaching zoom","https://www.chorus.ai/favicon.ico","https://www.chorus.ai"
"Clari","Sales","AI revenue operations platform for sales forecasting, pipeline management, and deal inspection.","clari ai sales forecast pipeline manage deal inspect revenue operations team","https://www.clari.com/favicon.ico","https://www.clari.com"
"Salesloft","Sales","AI-powered sales engagement platform for automating outreach, follow-ups, and deal management workflows.","salesloft ai sales engagement automate outreach follow-up deal manage workflow crm","https://salesloft.com/favicon.ico","https://salesloft.com"
"Apollo.io","Sales","AI sales platform combining prospecting, outreach sequences, and CRM enrichment to find and close deals.","apollo ai sales prospect outreach sequence crm enrich email lead find close","https://www.apollo.io/favicon.ico","https://www.apollo.io"
"Lavender","Sales","AI email coaching tool analyzing and scoring sales emails to increase reply rates and book more meetings.","lavender ai email sales coach score reply rate meeting book prospect outreach","https://www.lavender.ai/favicon.ico","https://www.lavender.ai"
"Rasa","Customer Support","Open-source conversational AI framework for building custom chatbots and voice assistants for enterprises.","rasa open source conversational ai chatbot voice assistant enterprise custom build","https://rasa.com/favicon.ico","https://rasa.com"
"Landbot","Customer Support","No-code AI chatbot builder for creating conversational lead generation and customer support flows.","landbot no code chatbot builder ai conversational lead customer support flow website","https://landbot.io/favicon.ico","https://landbot.io"
"ManyChat","Customer Support","AI chatbot platform automating Instagram, Facebook, and WhatsApp conversations for marketing and support.","manychat chatbot ai instagram facebook whatsapp automate marketing support social message","https://manychat.com/favicon.ico","https://manychat.com"
"HubSpot AI","Marketing","HubSpot's AI tools for content creation, email optimization, CRM insights, and marketing automation.","hubspot ai marketing content email crm insight automate campaign seo tool","https://www.hubspot.com/favicon.ico","https://www.hubspot.com/artificial-intelligence"
"Persado","Marketing","AI language platform generating emotionally targeted marketing messages proven to drive higher conversions.","persado ai marketing language emotional message conversion optimize brand personalize","https://www.persado.com/favicon.ico","https://www.persado.com"
"Phrasee","Marketing","AI brand language optimization tool generating and testing email subject lines and ad copy to boost engagement.","phrasee ai brand language email subject line ad copy test optimize engagement marketing","https://phrasee.co/favicon.ico","https://phrasee.co"
"Albert AI","Marketing","Autonomous AI marketing platform managing and optimizing digital ad campaigns across multiple channels.","albert ai marketing autonomous ad campaign manage optimize digital channel performance","https://albert.ai/favicon.ico","https://albert.ai"
"AdCreative.ai","Marketing","AI platform generating high-converting ad creatives, social media visuals, and product photos for advertising.","adcreative ai advertising generate creative ad social visual product photo convert","https://www.adcreative.ai/favicon.ico","https://www.adcreative.ai"
"Pencil","Marketing","AI ad generation platform creating winning video and static ad variations for paid social campaigns.","pencil ai ad generate video static variation paid social facebook instagram campaign","https://www.trypencil.com/favicon.ico","https://www.trypencil.com"
"Khanmigo","Education","Khan Academy's AI tutor using Socratic method to guide students through subjects without giving direct answers.","khanmigo khan academy ai tutor student guide subject socratic learn education","https://www.khanacademy.org/favicon.ico","https://www.khanacademy.org/khan-labs"
"Duolingo Max","Education","Duolingo's AI-powered language learning features with roleplay conversations and mistake explanations.","duolingo max ai language learn roleplay conversation explain mistake gpt education","https://www.duolingo.com/favicon.ico","https://www.duolingo.com"
"Speak","Education","AI language learning app for speaking practice with real-time feedback on pronunciation and fluency.","speak ai language learn speak practice pronunciation fluency feedback real-time education","https://www.speak.com/favicon.ico","https://www.speak.com"
"Coursera AI","Education","AI-powered tools on Coursera for personalized learning path recommendations and course content assistance.","coursera ai education personalize learning path recommend course online skill degree","https://www.coursera.org/favicon.ico","https://www.coursera.org"
"Synthesis","Education","AI math and problem-solving platform for kids with adaptive challenges and collaborative team exercises.","synthesis ai math problem solve kids adaptive challenge team exercise education learn","https://www.synthesis.com/favicon.ico","https://www.synthesis.com"
"Socratic by Google","Education","Google's AI homework helper app that explains problems and concepts step-by-step using visual explanations.","socratic google homework help explain step visual ai student education app","https://socratic.org/favicon.ico","https://socratic.org"
"Quizlet AI","Education","AI-powered study platform generating practice tests, flashcards, and explanations for any subject automatically.","quizlet ai study flashcard test practice explain subject generate learn education app","https://quizlet.com/favicon.ico","https://quizlet.com"
"Knowji","Education","AI vocabulary learning app using spaced repetition and visual storytelling for effective word retention.","knowji ai vocabulary learn spaced repetition visual story word retain education app","https://www.knowji.com/favicon.ico","https://www.knowji.com"
"Numerade","Education","AI STEM tutoring platform with step-by-step video solutions to textbook problems and an AI tutor.","numerade ai stem tutor video solution textbook problem math science step education","https://www.numerade.com/favicon.ico","https://www.numerade.com"
"Woebot","Mental Health","AI mental health chatbot delivering cognitive behavioral therapy techniques through guided conversations.","woebot ai mental health cbt therapy conversation support emotional wellbeing app","https://woebothealth.com/favicon.ico","https://woebothealth.com"
"Wysa","Mental Health","AI emotional support chatbot using evidence-based techniques to help manage stress, anxiety, and low mood.","wysa ai mental health emotional support anxiety stress mood therapy chatbot wellness","https://www.wysa.io/favicon.ico","https://www.wysa.io"
"Eightfold AI","HR","AI talent intelligence platform matching candidates to jobs, identifying skill gaps, and reducing hiring bias.","eightfold ai hr talent hire candidate match skill gap bias reduce intelligence platform","https://eightfold.ai/favicon.ico","https://eightfold.ai"
"Workday AI","HR","AI-enhanced HR platform for workforce planning, employee experience, skills matching, and HR automation.","workday ai hr workforce plan employee experience skill match automate payroll people","https://www.workday.com/favicon.ico","https://www.workday.com"
"HireVue","HR","AI video interviewing platform using machine learning to screen, assess, and rank job candidates efficiently.","hirevue ai video interview screen assess rank candidate hr recruit machine learning","https://www.hirevue.com/favicon.ico","https://www.hirevue.com"
"Leena AI","HR","Autonomous AI HR agent resolving employee queries, automating onboarding, and handling HR workflows.","leena ai hr autonomous agent employee query onboard automate workflow service desk","https://leena.ai/favicon.ico","https://leena.ai"
"Harvey AI","Legal","AI platform for lawyers automating legal research, contract drafting, due diligence, and litigation tasks.","harvey ai legal lawyer automate research contract draft due diligence litigation law","https://www.harvey.ai/favicon.ico","https://www.harvey.ai"
"Ironclad","Legal","AI contract management platform for reviewing, negotiating, and managing legal contracts at scale.","ironclad ai contract manage review negotiate legal scale automate compliance CLM","https://ironcladapp.com/favicon.ico","https://ironcladapp.com"
"Spellbook","Legal","AI contract drafting and review tool powered by GPT-4 for lawyers to speed up contract workflows.","spellbook ai contract draft review lawyer legal gpt speed workflow redline","https://www.spellbook.legal/favicon.ico","https://www.spellbook.legal"
"Casetext","Legal","AI legal research platform using natural language to find relevant cases, statutes, and legal documents fast.","casetext ai legal research natural language case statute find document lawyer law","https://casetext.com/favicon.ico","https://casetext.com"
"Kira Systems","Legal","AI contract analysis tool extracting and reviewing key provisions from legal documents for due diligence.","kira systems ai contract analyze extract review provision legal document due diligence","https://kirasystems.com/favicon.ico","https://kirasystems.com"
"Bloomberg GPT","Finance","Large language model trained on financial data for summarizing earnings, analyzing trends, and financial NLP.","bloomberg gpt finance financial nlp summarize earnings analyze trend market language model","https://www.bloomberg.com/favicon.ico","https://www.bloomberg.com/company/press/bloomberggpt-large-language-model-finance"
"Kavout","Finance","AI investment platform using machine learning to score stocks, identify signals, and build investment portfolios.","kavout ai investment stock score signal portfolio machine learning finance market predict","https://www.kavout.com/favicon.ico","https://www.kavout.com"
"Magnifi","Finance","AI financial investment assistant for searching, analyzing, and comparing financial products and investments.","magnifi ai finance investment search analyze compare product portfolio advisor assistant","https://magnifi.com/favicon.ico","https://magnifi.com"
"Domo","Finance","AI-powered business intelligence platform consolidating company data for dashboards, reports, and forecasting.","domo ai business intelligence data dashboard report forecast analytics consolidate","https://www.domo.com/favicon.ico","https://www.domo.com"
"Luma AI","3D Generation","AI platform creating 3D models, NeRF scenes, and photorealistic assets from images and video captures.","luma ai 3d model nerf scene photorealistic asset image video generate capture","https://lumalabs.ai/favicon.ico","https://lumalabs.ai"
"Spline AI","3D Generation","3D design tool with AI text-to-3D generation for creating interactive web-based 3D objects and scenes.","spline ai 3d design generate text object scene interactive web browser create","https://spline.design/favicon.ico","https://spline.design"
"Meshy","3D Generation","AI 3D model generator creating game-ready assets from text prompts or reference images quickly.","meshy ai 3d model generate game asset text prompt image ready create fast","https://www.meshy.ai/favicon.ico","https://www.meshy.ai"
"Kaedim","3D Generation","AI platform converting 2D concept art and images into game-ready 3D models automatically.","kaedim ai 3d convert 2d concept art image model game ready automatic","https://www.kaedim3d.com/favicon.ico","https://www.kaedim3d.com"
"Scenario","3D Generation","AI-powered game asset generation platform creating consistent visual assets and game art at scale.","scenario ai game asset generate consistent visual art scale design texture 3d","https://www.scenario.com/favicon.ico","https://www.scenario.com"
"Visily","Design","AI UI design tool converting screenshots, sketches, and prompts into editable wireframes and mockups.","visily ai ui design screenshot sketch wireframe mockup convert prototype app web","https://www.visily.ai/favicon.ico","https://www.visily.ai"
"Uizard","Design","AI UI design tool generating app and web mockups from text prompts, screenshots, or rough sketches.","uizard ai ui design app web mockup generate text screenshot sketch prototype wireframe","https://uizard.io/favicon.ico","https://uizard.io"
"Framer AI","Design","AI website builder that generates complete, responsive websites from text descriptions instantly.","framer ai website builder generate responsive text description design publish instant","https://www.framer.com/favicon.ico","https://www.framer.com"
"Webflow AI","Design","AI-enhanced visual web builder for designing, building, and launching responsive websites without coding.","webflow ai website build design responsive launch visual no code publish cms","https://webflow.com/favicon.ico","https://webflow.com"
"Wix ADI","Design","Wix's AI website builder automatically generating personalized websites based on user preferences and content.","wix adi ai website builder generate personalize automatic design template publish","https://www.wix.com/favicon.ico","https://www.wix.com/adi"
"Dora AI","Design","AI-powered 3D and animated website builder generating interactive sites from natural language prompts.","dora ai website 3d animated build generate interactive natural language prompt design","https://www.dora.run/favicon.ico","https://www.dora.run"
"Locofy","Design","AI tool converting Figma and Adobe XD designs to production-ready React, Vue, and HTML code.","locofy ai figma design convert react vue html code frontend production export","https://www.locofy.ai/favicon.ico","https://www.locofy.ai"
"Anima","Design","AI design-to-code tool converting Figma designs into React, HTML, and CSS code automatically.","anima ai figma design code convert react html css auto export developer handoff","https://www.animaapp.com/favicon.ico","https://www.animaapp.com"
"Galileo AI","Design","AI UI design assistant generating high-fidelity mobile and web interface designs from text descriptions.","galileo ai ui design generate mobile web interface text description high fidelity","https://www.usegalileo.ai/favicon.ico","https://www.usegalileo.ai"
"Khroma","Design","AI color tool learning your color preferences to generate unlimited palettes, gradients, and type combinations.","khroma ai color palette generate preference gradient type combination design tool infinite","https://www.khroma.co/favicon.ico","https://www.khroma.co"
"Fontjoy","Design","AI font pairing tool generating harmonious font combinations for designers using neural networks.","fontjoy ai font pair combine generate harmonious design neural network typography select","https://fontjoy.com/favicon.ico","https://fontjoy.com"
"Zyro","Design","AI website and online store builder with AI writer, heatmaps, and brand identity generator.","zyro ai website store builder write heatmap brand identity design ecommerce publish","https://zyro.com/favicon.ico","https://zyro.com"
"Mixo","Design","AI website builder creating complete landing pages from a single sentence description in seconds.","mixo ai website landing page create sentence description second fast startup launch","https://www.mixo.io/favicon.ico","https://www.mixo.io"
"Beautiful.ai Designer","Design","AI-powered presentation and design tool creating professional branded visual content automatically.","beautiful ai design create presentation brand visual professional automatic content","https://www.beautiful.ai/favicon.ico","https://www.beautiful.ai"
"Autodraw","Design","Google's AI drawing tool recognizing rough sketches and suggesting professional icon replacements.","autodraw google ai draw sketch recognize icon suggest replace simple fast tool","https://www.autodraw.com/favicon.ico","https://www.autodraw.com"
"Semrush AI","SEO","All-in-one AI SEO and marketing platform for keyword research, site audit, backlinks, and competitor analysis.","semrush seo keyword research audit backlink competitor analysis ai marketing rank","https://www.semrush.com/favicon.ico","https://www.semrush.com"
"Ahrefs","SEO","Comprehensive SEO toolset using AI for keyword research, backlink analysis, and content gap identification.","ahrefs seo keyword backlink content gap rank analysis site audit competitor ai","https://ahrefs.com/favicon.ico","https://ahrefs.com"
"Moz","SEO","AI-powered SEO software for keyword research, link building, site audits, and rank tracking.","moz seo keyword rank site audit link build research ai tool marketing","https://moz.com/favicon.ico","https://moz.com"
"MarketMuse","SEO","AI content intelligence platform for planning, creating, and optimizing SEO content strategy.","marketmuse ai content seo intelligence plan create optimize strategy cluster topic","https://www.marketmuse.com/favicon.ico","https://www.marketmuse.com"
"Clearscope","SEO","AI content optimization tool analyzing top-ranking pages to guide writers in producing SEO-winning content.","clearscope ai content seo optimize rank page guide writer keyword score","https://www.clearscope.io/favicon.ico","https://www.clearscope.io"
